k,weight,metric,accuracy,precision,recall,f1,specificity
8,uniform,canberra,0.9613408521303258,0.9642599742599742,0.9746825396825397,0.9693590908164891,0.9387445887445887
8,uniform,braycurtis,0.9402882205513784,0.9392827694632422,0.9692063492063492,0.9533898116882975,0.8926406926406927
8,uniform,correlation,0.9243734335839597,0.9293671264723896,0.9524603174603176,0.9402215917903491,0.8774891774891775
8,distance,euclidean,0.9297619047619046,0.9318137891822103,0.9608730158730159,0.9452162726373567,0.8785714285714287
8,distance,manhattan,0.9350250626566415,0.9299193532320468,0.971984126984127,0.9497143434129736,0.8740259740259739
8,distance,minkowski,0.9297619047619046,0.9318137891822103,0.9608730158730159,0.9452162726373567,0.8785714285714287
8,distance,chebyshev,0.9262218045112782,0.9285254182879343,0.9580952380952381,0.9423063281522728,0.8735930735930737
8,distance,cosine,0.924436090225564,0.9229126370612439,0.9609523809523809,0.9408223425612053,0.8629870129870131
8,distance,canberra,0.9613095238095237,0.9617117117117117,0.9774603174603174,0.9694368480754155,0.9339826839826839
8,distance,braycurtis,0.9350250626566415,0.9299193532320468,0.971984126984127,0.9497143434129736,0.8740259740259739
8,distance,correlation,0.9279448621553884,0.9233609665188613,0.9665079365079364,0.943796748765117,0.8629870129870131
9,uniform,euclidean,0.9262531328320801,0.9247477395102557,0.9636507936507936,0.9427460746985213,0.8647186147186148
9,uniform,manhattan,0.9368107769423559,0.928120321696173,0.9776190476190475,0.9514207179057651,0.8694805194805195
9,uniform,minkowski,0.9262531328320801,0.9247477395102557,0.9636507936507936,0.9427460746985213,0.8647186147186148
9,uniform,chebyshev,0.9261904761904761,0.9239704584698167,0.9636507936507936,0.9425316802649488,0.8642857142857142
9,uniform,cosine,0.9261591478696742,0.9184519120045435,0.9693650793650793,0.9425832225393341,0.8538961038961039
9,uniform,canberra,0.9613721804511279,0.9594397028607553,0.9803174603174603,0.9696250934305526,0.9292207792207792
9,uniform,braycurtis,0.9368107769423559,0.928120321696173,0.9776190476190475,0.9514207179057651,0.8694805194805195
9,uniform,correlation,0.9279135338345865,0.9208810618021144,0.9693650793650793,0.9438805198366313,0.8586580086580087
9,distance,euclidean,0.9297619047619048,0.9314473024172487,0.9608730158730158,0.9452066285051144,0.8785714285714287
9,distance,manhattan,0.9350563909774436,0.927580510630046,0.9748412698412698,0.9499042425262761,0.8692640692640692
9,distance,minkowski,0.9297619047619048,0.9314473024172487,0.9608730158730158,0.9452066285051144,0.8785714285714287
9,distance,chebyshev,0.924436090225564,0.9232888830513991,0.9608730158730158,0.9411802479998606,0.8640692640692642
9,distance,cosine,0.924436090225564,0.9182813582813584,0.9665873015873017,0.941054066831233,0.8538961038961039
9,distance,canberra,0.9613721804511279,0.9594397028607553,0.9803174603174603,0.9696250934305526,0.9292207792207792
9,distance,braycurtis,0.9333020050125314,0.9274382631193776,0.972063492063492,0.9484973561878828,0.8692640692640692
9,distance,correlation,0.9244047619047618,0.9184669183353394,0.9665873015873017,0.9410901028672691,0.8538961038961039
10,uniform,euclidean,0.9315162907268169,0.9318457079240134,0.9636507936507936,0.9465644135853534,0.8787878787878789
10,uniform,manhattan,0.9350250626566415,0.9345563132661978,0.9664285714285714,0.9493432197888172,0.8835497835497836
10,uniform,minkowski,0.9315162907268169,0.9318457079240134,0.9636507936507936,0.9465644135853534,0.8787878787878789
10,uniform,chebyshev,0.9332393483709274,0.9338596999380055,0.9636507936507936,0.9477487568823728,0.8831168831168832
10,uniform,cosine,0.9261904761904762,0.9205274345212425,0.9665873015873017,0.9423153087502936,0.8586580086580087
10,uniform,canberra,0.956077694235589,0.9591469665153876,0.9718253968253968,0.965240590506278,0.9292207792207792
10,uniform,braycurtis,0.9367794486215537,0.9368505102972369,0.9664285714285714,0.9506020128284322,0.8880952380952382
10,uniform,correlation,0.9279135338345865,0.9208810618021144,0.9693650793650793,0.9438805198366313,0.8586580086580087
10,distance,euclidean,0.9315162907268169,0.9321654566391409,0.9636507936507936,0.9466612107261303,0.8787878787878789
10,distance,manhattan,0.9350250626566415,0.9299193532320468,0.971984126984127,0.9497143434129736,0.8740259740259739
10,distance,minkowski,0.9315162907268169,0.9321654566391409,0.9636507936507936,0.9466612107261303,0.8787878787878789
10,distance,chebyshev,0.9261904761904761,0.9239704584698167,0.9636507936507936,0.9425316802649488,0.8642857142857142
10,distance,cosine,0.9244047619047618,0.9183454608454609,0.9665873015873017,0.9410559634647087,0.8538961038961039
10,distance,canberra,0.9578320802005014,0.9569421301000247,0.9774603174603174,0.9669176082380202,0.9244588744588744
10,distance,braycurtis,0.9350250626566415,0.9299193532320468,0.971984126984127,0.9497143434129736,0.8740259740259739
10,distance,correlation,0.9244047619047618,0.9183454608454609,0.9665873015873017,0.9410559634647087,0.8538961038961039
11,uniform,euclidean,0.9297619047619046,0.9296662207445262,0.9636507936507936,0.9453391883601283,0.8742424242424243
11,uniform,manhattan,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
11,uniform,minkowski,0.9297619047619046,0.9296662207445262,0.9636507936507936,0.9453391883601283,0.8742424242424243
11,uniform,chebyshev,0.931484962406015,0.93144149225664,0.9636507936507936,0.9464549973694352,0.8785714285714287
11,uniform,cosine,0.9279135338345865,0.9186543411543411,0.9721428571428572,0.9439886279447395,0.8538961038961039
11,uniform,canberra,0.9543233082706767,0.9539416838333248,0.9746031746031745,0.9639867707407909,0.9201298701298702
11,uniform,braycurtis,0.9368107769423558,0.9325984386767441,0.9720634920634922,0.9509735730549025,0.879004329004329
11,uniform,correlation,0.9296679197994987,0.9188924363924365,0.9749206349206349,0.9455144495409836,0.8538961038961039
11,distance,euclidean,0.9297619047619048,0.9316424368229095,0.9608730158730158,0.945243651829809,0.8787878787878789
11,distance,manhattan,0.9385651629072681,0.932559173503446,0.9748412698412698,0.9524958752548951,0.8787878787878789
11,distance,minkowski,0.9297619047619048,0.9316424368229095,0.9608730158730158,0.945243651829809,0.8787878787878789
11,distance,chebyshev,0.9279761904761905,0.9262952453147273,0.9636507936507936,0.9438711525699859,0.8692640692640694
11,distance,cosine,0.9226503759398497,0.9160377685377685,0.9665873015873017,0.9397928055699719,0.849134199134199
11,distance,canberra,0.956077694235589,0.956882860303913,0.9746031746031745,0.9653934203571592,0.9246753246753248
11,distance,braycurtis,0.9368107769423559,0.934316299233614,0.9692857142857143,0.9508430700512607,0.8833333333333334
11,distance,correlation,0.9226503759398497,0.9160377685377685,0.9665873015873017,0.9397928055699719,0.849134199134199
12,uniform,euclidean,0.9315162907268169,0.9318457079240134,0.9636507936507936,0.9465644135853534,0.8787878787878789
